"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 07 10:03:10 IDT 2023","Thu Sep 07 10:03:15 IDT 2023","4937","","ru.netology.tours.TourPaymentTest","","ru.netology.tours.TourPaymentTest","payByCreditWithApprovedCardNumber","payByCreditWithApprovedCardNumber()",""
"passed","Thu Sep 07 10:02:58 IDT 2023","Thu Sep 07 10:03:02 IDT 2023","3793","","ru.netology.tours.TourPaymentTest","","ru.netology.tours.TourPaymentTest","payByCardWithApprovedCardNumber","payByCardWithApprovedCardNumber()",""
"failed","Thu Sep 07 10:02:37 IDT 2023","Thu Sep 07 10:02:42 IDT 2023","4899","","ru.netology.tours.TourPaymentTest","","ru.netology.tours.TourPaymentTest","payByCardWithInvalidName","payByCardWithInvalidName()",""
"passed","Thu Sep 07 10:02:42 IDT 2023","Thu Sep 07 10:02:42 IDT 2023","686","","ru.netology.tours.TourPaymentTest","","ru.netology.tours.TourPaymentTest","payByCardWithInvalidYear","payByCardWithInvalidYear()",""
"passed","Thu Sep 07 10:02:31 IDT 2023","Thu Sep 07 10:02:35 IDT 2023","3531","","ru.netology.tours.TourPaymentTest","","ru.netology.tours.TourPaymentTest","payByCardWithCleanFields","payByCardWithCleanFields()",""
"passed","Thu Sep 07 10:03:03 IDT 2023","Thu Sep 07 10:03:04 IDT 2023","644","","ru.netology.tours.TourPaymentTest","","ru.netology.tours.TourPaymentTest","payByCreditWithInvalidCardNumber","payByCreditWithInvalidCardNumber()",""
"failed","Thu Sep 07 10:03:04 IDT 2023","Thu Sep 07 10:03:09 IDT 2023","4911","","ru.netology.tours.TourPaymentTest","","ru.netology.tours.TourPaymentTest","payByCreditWithInvalidName","payByCreditWithInvalidName()",""
"passed","Thu Sep 07 10:02:36 IDT 2023","Thu Sep 07 10:02:37 IDT 2023","793","","ru.netology.tours.TourPaymentTest","","ru.netology.tours.TourPaymentTest","payByCreditWithInvalidCvcCvv","payByCreditWithInvalidCvcCvv()",""
"passed","Thu Sep 07 10:03:02 IDT 2023","Thu Sep 07 10:03:02 IDT 2023","297","","ru.netology.tours.TourPaymentTest","","ru.netology.tours.TourPaymentTest","payByCreditWithCleanFields","payByCreditWithCleanFields()",""
"passed","Thu Sep 07 10:02:35 IDT 2023","Thu Sep 07 10:02:36 IDT 2023","932","","ru.netology.tours.TourPaymentTest","","ru.netology.tours.TourPaymentTest","payByCardWithInvalidMonth","payByCardWithInvalidMonth()",""
"failed","Thu Sep 07 10:03:15 IDT 2023","Thu Sep 07 10:03:31 IDT 2023","15857","","ru.netology.tours.TourPaymentTest","","ru.netology.tours.TourPaymentTest","payByCardWithDeclinedCardNumber","payByCardWithDeclinedCardNumber()",""
"passed","Thu Sep 07 10:03:04 IDT 2023","Thu Sep 07 10:03:04 IDT 2023","655","","ru.netology.tours.TourPaymentTest","","ru.netology.tours.TourPaymentTest","payByCreditWithInvalidMonth","payByCreditWithInvalidMonth()",""
"passed","Thu Sep 07 10:03:09 IDT 2023","Thu Sep 07 10:03:10 IDT 2023","686","","ru.netology.tours.TourPaymentTest","","ru.netology.tours.TourPaymentTest","payByCreditWithInvalidYear","payByCreditWithInvalidYear()",""
"passed","Thu Sep 07 10:03:31 IDT 2023","Thu Sep 07 10:03:31 IDT 2023","708","","ru.netology.tours.TourPaymentTest","","ru.netology.tours.TourPaymentTest","payByCardWithInvalidCvcCvv","payByCardWithInvalidCvcCvv()",""
"passed","Thu Sep 07 10:03:02 IDT 2023","Thu Sep 07 10:03:03 IDT 2023","655","","ru.netology.tours.TourPaymentTest","","ru.netology.tours.TourPaymentTest","payByCardWithInvalidCardNumber","payByCardWithInvalidCardNumber()",""
"failed","Thu Sep 07 10:02:42 IDT 2023","Thu Sep 07 10:02:58 IDT 2023","15903","","ru.netology.tours.TourPaymentTest","","ru.netology.tours.TourPaymentTest","payByCreditWithDeclinedCardNumber","payByCreditWithDeclinedCardNumber()",""
